,lombrices_agregadas_g
peso_cama_5cm_g,1.0
peso_cama_10cm_g,0.9776258038684231
acel_y_g,-0.8946954466451773
humedad_pct,0.862996986550309
conductividad_us_cm,0.8242655528902909
nitrogeno_mg_kg,0.8242655528902909
potasio_mg_kg,0.7878017503545744
img_lbp_4,0.7802919245269915
fosforo_mg_kg,0.77424081475283
cold_lbp_40_7,0.7538531433125236
cold_lbp_40_5,0.7455040545079549
cold_lbp_40_6,0.7434167823068127
cold_lbp_30_6,0.7413295101056705
cold_lbp_30_4,0.7378507231037669
cold_lbp_40_4,0.7308931490999595
cold_lbp_30_5,0.7211525454946293
img_lbp_5,0.7202320365060794
cold_lbp_35_6,0.7148907288912026
cold_lbp_35_5,0.7016713382839688
salud,-0.6979462193959104
cold_lbp_40_8,0.6961052790809229
cold_lbp_35_4,0.6896134765000238
cold_lbp_25_5,0.6863646754755927
cold_lbp_30_0,0.6807986162725468
cold_lbp_25_6,0.679175331043414
cold_lbp_40_3,0.6752325570695009
cold_lbp_25_4,0.669666497866455
cold_lbp_30_7,0.6599258942611248
temperatura_c,0.6532660943902323
cold_lbp_25_7,0.6446192314527487
cold_lbp_35_7,0.6327913556462762
cold_lbp_25_3,0.6221134692139468
img_lbp_3,0.6174846928379001
ph,0.599955232846238
cold_lbp_35_3,0.5973077282268588
cold_lbp_35_13,-0.5868713672211479
cold_lbp_40_13,-0.5729562192135332
cold_lbp_30_3,0.5713144946584456
cold_lbp_30_13,-0.5659986452097259
img_lbp_18,0.5646071304089644
img_lbp_6,0.5626160401112708
cold_lbp_30_8,0.5437344083975425
acel_z_g,0.526718233264493
cold_lbp_25_8,0.5226031491942663
cold_lbp_25_13,-0.5207744141849783
cold_lbp_25_0,0.5172956271830746
cold_lbp_35_11,-0.5035526633703965
cold_lbp_35_12,-0.492944118169749
cold_lbp_35_0,0.4894653311678453
cold_lbp_25_2,0.482507757164038
cold_lbp_30_2,0.4822423200953749
cold_lbp_35_8,0.4822423200953749
cold_lbp_25_15,-0.4769416979609921
cold_lbp_40_0,0.472071396158327
cold_lbp_30_11,-0.45189443154728576
cold_lbp_35_14,-0.451198674146905
cold_lbp_30_12,-0.4442411001430977
cold_lbp_30_15,-0.43310898173700596
cold_lbp_30_1,0.4317912837217606
img_lbp_13,-0.42406413553205646
cold_lbp_25_11,-0.4189175709919418
img_lbp_19,0.41648200371873284
img_lbp_7,0.4115405023252033
cold_lbp_40_12,-0.41126293099042793
img_lbp_0,0.404582928321396
cold_lbp_25_14,-0.3955380821164464
cold_lbp_35_15,-0.39345080991530423
cold_lbp_25_12,-0.3802314193080703
cold_lbp_35_2,0.37472942189229347
cold_lbp_30_14,-0.37466536010502444
cold_lbp_35_10,-0.37020622552776256
cold_lbp_40_2,0.36255158552624867
cold_lbp_25_1,0.3601160182530397
img_lbp_17,0.3593586972966483
cold_lbp_40_11,-0.35727142509550613
cold_lbp_40_14,-0.33987749008598783
cold_lbp_30_10,-0.3329199160821805
img_lbp_14,-0.3176132532738044
img_lbp_12,-0.3141344662719007
cold_lbp_40_15,-0.2869999276570522
uv_intensity,0.2853219012771546
img_lbp_8,0.27800260732770893
cold_lbp_25_9,0.26334417604410726
cold_lbp_25_10,-0.25708235944068064
cold_lbp_35_1,0.25295105823184527
cold_lbp_25_25,0.25290781503839627
img_pix_percentile_count_75,0.24873327063611186
img_pix_percentile_density_75,0.24873327063611186
img_lbp_11,-0.2473417558353504
img_lbp_15,-0.24664599843496968
cold_lbp_40_17,0.24595024103458893
img_lbp_2,0.23481812262849722
img_pix_percentile_count_95,0.23342660782773575
img_pix_percentile_density_95,0.23342660782773575
cold_lbp_40_18,0.22646903382392844
cold_lbp_40_9,0.2236860042224055
cold_lbp_35_18,0.21811994501935963
cold_lbp_40_10,-0.2125538858163138
cold_lbp_25_19,0.20977085621479086
img_gray_max,0.2060136611034459
cold_lbp_40_19,0.203195898222005
cold_lbp_30_25,0.19933449520907986
img_glcm_ASM_mean,-0.18820237680298815
cold_lbp_30_18,0.18820237680298815
img_glcm_energy_mean,-0.18820237680298815
cold_lbp_25_18,0.18402783240070375
cold_lbp_40_1,0.1833947847935031
img_lbp_1,0.1805490453988001
img_lbp_24,-0.17915753059803863
img_glcm_contrast_std,-0.17915753059803863
cold_lbp_35_24,0.17776601579727716
cold_lbp_25_23,-0.1721999565942313
img_glcm_contrast_mean,-0.1721999565942313
img_glcm_ASM_std,-0.16941692699270836
img_pix_density_80,0.16876078284097304
img_pix_count_80,0.16876078284097304
cold_lbp_40_16,0.1659381399908047
cold_lbp_35_19,0.16245935298890105
img_lbp_20,0.16037208078775883
img_lbp_10,-0.15411026418433224
img_pix_density_50,-0.15064571171500968
img_pix_count_50,-0.15064571171500968
img_glcm_homogeneity_mean,-0.14506541797938272
img_pix_percentile_count_90,0.1422823883778598
img_pix_percentile_density_90,0.1422823883778598
img_lbp_16,0.14158663097747906
cold_lbp_30_22,-0.13880360137595613
cold_lbp_30_19,0.13880360137595613
cold_std_25,0.13671632917481394
cold_lbp_35_17,0.13045451257138735
acel_x_g,0.13025469072236037
img_pix_percentile_count_60,0.12558421076872223
img_pix_percentile_density_60,0.12558421076872223
cold_lbp_30_21,-0.12280118116719929
img_glcm_dissimilarity_std,-0.12001815156567636
img_glcm_correlation_std,-0.12001815156567636
cold_lbp_30_24,0.1165393645637727
cold_lbp_35_22,-0.11481960002270832
cold_lbp_35_23,-0.1144520923626305
cold_lbp_35_25,0.11306057756186903
cold_lbp_30_23,-0.11166906276110757
img_lbp_25,0.1102775479603461
cold_median_35,0.10897921762949292
cold_lbp_30_9,0.10610300355806171
img_pix_percentile_count_80,-0.10471148875730024
img_pix_percentile_density_80,-0.10471148875730024
cold_median_25,0.10272963437188903
img_pix_percentile_count_70,0.1019284591557773
img_pix_percentile_density_70,0.1019284591557773
img_lbp_22,-0.1019284591557773
cold_lbp_25_22,-0.10123270175539657
img_glcm_energy_std,-0.09984118695463512
cold_median_40,0.08979876711283406
cold_median_30,0.08880019242315831
cold_lbp_40_23,-0.08523028154663974
img_glcm_dissimilarity_mean,-0.08383876674587827
img_gray_p90,-0.08327923514434715
cold_std_40,0.08314300934549754
cold_lbp_40_25,0.07966422234359387
cold_lbp_25_17,-0.07898196728834783
cold_lbp_35_21,-0.07896846494321313
cold_std_30,0.07409816314054801
cold_lbp_40_20,0.07061937613864434
img_gray_p25,0.06900986700932271
img_pix_density_180,-0.06853210393750216
img_pix_count_180,-0.06853210393750216
img_pix_count_100,0.06806946181707005
img_pix_density_100,0.06806946181707005
cold_lbp_30_16,-0.06783634653712142
cold_lbp_35_9,0.06614219394019077
cold_lbp_25_21,-0.06435755953521775
cold_area_pct_25,0.06227028733407556
cold_lbp_25_16,-0.06087877253331409
cold_area_pct_35,-0.060183015132933365
img_glcm_homogeneity_std,-0.060183015132933365
cold_std_35,0.060183015132933365
img_pix_density_130,0.0587915003321719
img_pix_count_130,0.0587915003321719
cold_area_pct_40,0.0546169559298875
img_gray_p75,-0.053641546281910944
img_gray_range,-0.052737436706297644
img_glcm_correlation_mean,0.05113816892798384
cold_mean_35,0.04974665412722237
img_lbp_21,0.04348483752379578
cold_lbp_25_24,0.042093322723034315
img_gray_std,-0.04000605052189212
cold_mean_25,0.03931029312151139
img_gray_p10,0.03832566500822063
cold_lbp_30_17,0.03827320000756944
cold_mean_30,0.035831506119607726
cold_lbp_25_20,0.030265446916561863
img_gray_mean,0.0288739321158004
cold_lbp_35_20,-0.025395145113896737
img_pix_percentile_count_85,0.025395145113896737
img_pix_percentile_density_85,0.025395145113896737
cold_lbp_40_21,-0.024699387713516003
cold_lbp_30_20,-0.02330787291275454
img_gray_iqr,-0.021950153595617267
img_lbp_23,0.019133328510470143
img_gray_min,0.0187081578953118
cold_lbp_40_22,0.018437571110089413
cold_mean_40,0.018437571110089413
img_pix_count_150,-0.016350298908947215
img_pix_density_150,-0.016350298908947215
cold_area_pct_30,-0.013567269307424284
img_gray_median,0.011511524792441611
img_lbp_9,0.009392724905139888
cold_lbp_35_16,0.005219072728304923
cold_lbp_40_24,0.0003479381818869949
img_pix_percentile_density_50,0.0003478787001903663
img_pix_percentile_count_50,0.0003478787001903663
