lombrices_agregadas_g,outlier_label,outlier_score,is_outlier,replica,imagen
0,1,0.014458453642488156,False,1,T0G-1.jpg
10,1,0.024211146986245047,False,1,T10G-1.jpg
10,1,0.033825645099211654,False,2,T10G-2.jpg
10,1,0.058833748200819824,False,3,T10G-3.jpg
10,1,0.006346478727385807,False,4,T10G-4.jpg
10,-1,-0.03717297175446366,True,5,T10G-5.jpg
20,-1,-0.04573445343261928,True,1,T20G-1.jpg
20,1,0.029822084246027614,False,2,T20G-2.jpg
20,1,0.01710497801730082,False,3,T20G-3.jpg
20,-1,-0.14274615031795046,True,4,T20G-4.jpg
20,1,0.060082191162083964,False,5,T20G-5.jpg
30,1,0.01987158305792791,False,1,T30G-1.jpg
30,1,0.028681297363306157,False,2,T30G-2.jpg
30,1,0.04859542259055427,False,3,T30G-3.jpg
30,-1,-0.00823326012317016,True,4,T30G-4.jpg
30,1,0.058544165452515284,False,5,T30G-5.jpg
40,1,0.057670311500548355,False,1,T40G-1.jpg
40,1,0.049921088392523905,False,2,T40G-2.jpg
40,1,0.05794610466318734,False,3,T40G-3.jpg
40,1,0.07192605205732083,False,4,T40G-4.jpg
40,1,0.05890203024902185,False,5,T40G-5.jpg
50,1,0.05695639496062954,False,1,T50G-1.jpg
50,1,0.057241524157170154,False,2,T50G-2.jpg
50,1,0.0074185116214249835,False,3,T50G-3.jpg
50,1,0.011663921528220544,False,4,T50G-4.jpg
50,1,0.0027444200410566832,False,5,T50G-5.jpg
