Archivo,Gramos_Reales,Iteracion,Prediccion,Error,Error_Abs
T0G-1.jpg,0.0,1,21.68571428571428,-21.68571428571428,21.68571428571428
T10G-1.jpg,10.0,1,16.66611111111111,-6.66611111111111,6.66611111111111
T10G-2.jpg,10.0,2,28.013253968253963,-18.013253968253963,18.013253968253963
T10G-3.jpg,10.0,3,14.47797619047619,-4.4779761904761894,4.4779761904761894
T10G-4.jpg,10.0,4,17.952698412698417,-7.9526984126984175,7.9526984126984175
T10G-5.jpg,10.0,5,20.17888888888889,-10.178888888888888,10.178888888888888
T20G-1.jpg,20.0,1,13.565357142857142,6.434642857142858,6.434642857142858
T20G-2.jpg,20.0,2,15.601031746031744,4.398968253968256,4.398968253968256
T20G-3.jpg,20.0,3,42.00899470899471,-22.008994708994713,22.008994708994713
T20G-4.jpg,20.0,4,11.460674603174605,8.539325396825395,8.539325396825395
T20G-5.jpg,20.0,5,24.024285714285714,-4.024285714285714,4.024285714285714
T30G-1.jpg,30.0,1,33.53928571428572,-3.539285714285718,3.539285714285718
T30G-2.jpg,30.0,2,32.23900793650794,-2.2390079365079387,2.2390079365079387
T30G-3.jpg,30.0,3,35.99146825396827,-5.9914682539682715,5.9914682539682715
T30G-4.jpg,30.0,4,34.30626984126984,-4.306269841269838,4.306269841269838
T30G-5.jpg,30.0,5,45.53396825396825,-15.533968253968247,15.533968253968247
T40G-1.jpg,40.0,1,37.05674603174603,2.94325396825397,2.94325396825397
T40G-2.jpg,40.0,2,43.252261904761895,-3.2522619047618946,3.2522619047618946
T40G-3.jpg,40.0,3,35.50154761904761,4.4984523809523935,4.4984523809523935
T40G-4.jpg,40.0,4,41.96738095238094,-1.9673809523809425,1.9673809523809425
T40G-5.jpg,40.0,5,35.72293650793651,4.2770634920634905,4.2770634920634905
T50G-1.jpg,50.0,1,35.91084656084656,14.089153439153442,14.089153439153442
T50G-2.jpg,50.0,2,37.033333333333324,12.966666666666676,12.966666666666676
T50G-3.jpg,50.0,3,39.23801587301587,10.761984126984132,10.761984126984132
T50G-4.jpg,50.0,4,16.454047619047618,33.545952380952386,33.545952380952386
T50G-5.jpg,50.0,5,30.55511904761905,19.44488095238095,19.44488095238095
